,Unnamed: 0,job_name,norm_job_submit_time,ddl,T4,P100,V100
0,0,34b3d819023ea21e28afd50f,1.0,inf,176371.0,122643.0,63942.0
1,1,af3b0f5e810838d6c33840e1,1.0,inf,109920.0,95011.0,36072.0
2,2,8b3581e39780f46e28e48c4a,1.0,inf,387642.0,240371.0,90428.0
3,3,e3789c5e546bbbe82007127f,1.0,inf,310754.0,232288.0,170477.0
4,4,8dc5b00629f823cf8d30cade,1.0,inf,202852.0,157663.0,77718.0
5,5,a5fca6521f8613a8d5a7e54b,1.0,inf,208280.0,154630.0,58294.0
6,6,6661e092f01b74b115fd4212,1.0,inf,175809.0,117139.0,58082.0
7,7,9f0d56b7e61c0233f8eac927,1.0,inf,52938.0,48240.0,27578.0
8,8,4a90ccfb89c54e38dd6223de,1.0,inf,63230.0,57853.0,29443.0
9,9,be6307cdb221d1708e7b9314,1.0,inf,290671.0,211983.0,77820.0
10,10,3e8f649722e82dcde5d8a1f1,1.0,inf,150818.0,97203.0,44903.0
11,11,070d1ef25c84f9e7899a7a73,1.0,inf,260259.0,185386.0,130447.0
12,12,39b44fde874a6225e935a790,1.0,inf,124997.0,76494.0,58381.0
13,13,b643578285eac064d1a906cb,1.0,inf,150237.0,108450.0,56498.0
14,14,3c259019a86bdf12797826db,1.0,inf,65431.0,44731.0,20386.0
15,15,5277c5dc618b01973aae1376,1.0,inf,72199.0,52157.0,36379.0
16,16,46698b87248217a14b68dcec,1.0,inf,23559.0,17970.0,7822.0
17,17,801d01d97d3b500d3d85931d,1.0,inf,32978.0,23026.0,16938.0
18,18,c732eebb1b3b0dad7f65fbde,1.0,inf,76623.0,39819.0,16084.0
19,19,a3f0b61189409a87bae76d27,1.0,inf,127124.0,57836.0,40965.0
20,20,504e42bbb0e7b4aaffa736be,1.0,inf,90210.0,46144.0,27752.0
21,21,e6c75130934453752980d2b5,1.0,inf,101173.0,100558.0,43726.0
22,22,f2b1e54d0e7c3a14bb00e352,1.0,inf,37223.0,24245.0,20201.0
23,23,4036dc4b04d02fc50362ac61,1.0,33197.0,22358.0,15392.0,7874.0
24,24,9996b43474c2a67297ca4541,1.0,inf,9254.0,5028.0,3006.0
25,25,dbf19d21115c334deb03a612,1.0,inf,6647.0,5822.0,2231.0
26,26,cf9e392ce766c6f1f08b3cd3,1.0,inf,2343.0,1363.0,1419.0
