   ,job_name                ,norm_job_submit_time,ddl    ,T4   ,P100 ,V100
0  ,30f6ea3feca035f134a6233f,0                   ,inf    ,6859 ,3521 ,2332
1  ,d04911f4bf0ec739b03b32e0,0                   ,inf    ,1808 ,1244 ,692
2  ,07cafa55ee17f0d4fc497639,0                   ,7868.0 ,4152 ,2743 ,1508
3  ,e75c6060b1aeff164f596aad,0                   ,5092.0 ,5622 ,3787 ,2850
4  ,63740488a31263a0d9be36b6,0                   ,inf    ,2063 ,1356 ,998
5  ,4ba2780bc3cd4b5ae2d70e31,0                   ,10360.0,18360,10910,6234
6  ,a2b604de4649f49a0e08185d,0                   ,24412.0,16721,9282 ,6856
7  ,9dea1c4eccb1cacc3c6f7d51,0                   ,inf    ,760  ,456  ,303
8  ,d5ddfdca3e849d3d2028ad40,0                   ,24021.0,33075,17213,9333
9  ,8dd8bd02b33aa5ba33778479,0                   ,inf    ,15186,8997 ,7023
10 ,4169bbfbb32019c732201f50,0                   ,inf    ,888  ,538  ,253
11 ,a0f22e7a310823555fb2c68d,0                   ,inf    ,457  ,249  ,202
12 ,f7c37b1b5a3ca638e4ac3140,0                   ,inf    ,2114 ,1341 ,828
13 ,c6cf9809625cdc255a4c192d,0                   ,inf    ,868  ,596  ,366
14 ,6dd878616adfb2cc915cb92d,0                   ,inf    ,1407 ,858  ,653
15 ,cfb2110399749e88fa2aa9a7,0                   ,inf    ,13297,5732 ,4250
16 ,e4cadbaa57dc59addb07e7ac,0                   ,3715.0 ,1761 ,1239 ,743
17 ,6ae3aa453914c78ed9e57835,0                   ,inf    ,13000,6844 ,5560
18 ,143c5f20da09b84aabb8efad,0                   ,inf    ,4857 ,3004 ,1519
19 ,ffdac7950f9cc297917e4395,0                   ,712.0  ,761  ,473  ,394
20 ,5ca89641e957e8295285278d,0                   ,inf    ,1433 ,999  ,652
21 ,4561d44fa4d5a5bf2d1b670b,0                   ,inf    ,6904 ,3994 ,2254
22 ,da6ab8f76aa4e1be8ae39a92,0                   ,inf    ,1786 ,1264 ,914
23 ,0208818c1b725c54211a8e15,0                   ,inf    ,22667,14456,7739
24 ,76cbf322fb10bae2ade304a6,0                   ,inf    ,769  ,409  ,263
25 ,fcb21ed95a53538ca04cc1e6,0                   ,inf    ,8203 ,5009 ,3103
26 ,c15f3bb9098971711c75ae81,0                   ,inf    ,7964 ,4736 ,3108
27 ,18e25c23d3961feabbf3f07b,0                   ,5634.0 ,2957 ,2035 ,1688
28 ,ca3b3322368702c634a01024,0                   ,inf    ,1614 ,1099 ,496
29 ,323704b5a0562adab58c780f,0                   ,inf    ,8464 ,5089 ,3430
30 ,6758f628a656ac51f90378ac,0                   ,inf    ,16989,7397 ,5508
31 ,b5781d55fdfd431600bfcdb8,0                   ,inf    ,1144 ,677  ,508
32 ,60b4fddbad2cf48c82334e21,0                   ,inf    ,2075 ,1375 ,721
33 ,43551ac09f4630806f8bb452,0                   ,inf    ,5285 ,3044 ,2047
34 ,8feb60701ae292d1da0a6ddb,0                   ,inf    ,2245 ,1251 ,720
35 ,af042f5040eff763c6586f68,0                   ,inf    ,4277 ,2660 ,1582
36 ,e923989afb228f8415aa362e,0                   ,2453.0 ,1588 ,995  ,796
37 ,1dfaf5f998a881470f0e3983,0                   ,inf    ,9245 ,5855 ,4509
38 ,cbcc4d73143fd6707988e817,0                   ,inf    ,1872 ,1178 ,706
39 ,850017ab6d23f9cb3652ff21,0                   ,6793.0 ,3864 ,2414 ,1737
40 ,4bdc857564a0153bdd7318cf,0                   ,inf    ,979  ,635  ,515
41 ,b5d42e6cf5cd363658e0ed76,0                   ,inf    ,3860 ,2503 ,2010
42 ,cdd6f92a9e27904b847ea6ce,0                   ,inf    ,2794 ,1988 ,1102
