    ,name                    ,t4    ,p100  ,v100  ,deadline
0   ,247a8eace6cd35344afb87e7,34    ,23    ,10    ,inf
1   ,39559b64bbe03cd35a9576b7,521   ,397   ,197   ,613.0
2   ,d7bd997548eabd2f86fced0b,24    ,13    ,7     ,inf
3   ,66c34d67d75c2051110f703a,23    ,15    ,8     ,inf
4   ,660ac6f42f03a30cd8944642,24    ,13    ,8     ,34.0
5   ,75fb5e58b681ea332a9ff738,33    ,17    ,13    ,inf
6   ,b91ddb3bcee8fcbccd619f3b,24    ,13    ,9     ,inf
7   ,d9de921e32a0b4edb97aee71,80    ,47    ,34    ,inf
8   ,66f970ecdc92827714ea9f7c,584   ,332   ,168   ,inf
9   ,c086298fbc767e3f4ffec4ca,195   ,123   ,68    ,inf
10  ,0ab03f67f20c513b58dde11d,23    ,15    ,9     ,inf
11  ,63432d1622cccd85fe723cb8,162   ,107   ,53    ,inf
12  ,6b1b90e9c1f3e992af0050eb,24    ,15    ,8     ,inf
13  ,cdaeaf597504464b1bcb0a7d,368   ,188   ,101   ,inf
14  ,368d1462e9e4d78d3f00efcc,34    ,19    ,13    ,inf
15  ,fa1a71d9311503a3d40cd390,152   ,84    ,41    ,333.0
16  ,ca59e6752c67be5103bd8d67,23    ,13    ,8     ,inf
17  ,8422056c4e01bd3a0a9c5422,53    ,31    ,17    ,inf
18  ,27aac80ebe4284879dd4f542,23    ,15    ,8     ,77.0
19  ,651a9fe886867f3371610e62,96    ,60    ,31    ,74.0
20  ,30e8bacbdeeb50fc67b72056,150   ,84    ,47    ,inf
21  ,570caf2ed5460d78afed2ac8,24    ,15    ,8     ,inf
22  ,931431df7b41ce5d9da8c7bf,195   ,102   ,56    ,144.0
23  ,de74b56db604d9e0651e7c8c,292   ,150   ,88    ,inf
24  ,a6af78b214abf69ac8a46db2,33    ,17    ,12    ,inf
25  ,26f49a11c83a384db2f547c1,23    ,12    ,9     ,38.0
26  ,f48e606029dcc0632f6ea140,24    ,15    ,8     ,inf
27  ,46f4aed21618588898d7488c,1270  ,755   ,463   ,inf
28  ,c384e53f05394d77199e6011,43    ,22    ,15    ,inf
29  ,a2d7dd4b5370b4c4196d7609,1513  ,952   ,506   ,2621.0
30  ,837ac82ff0a8313a1e6ca500,33    ,17    ,10    ,89.0
